,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
49,Cam Atkinson,T.B,R,39,350.71666666667,4,5,5,0,9,56.25,47,8.51,4.18,68,59,44,20,9,5,11,4,3,1,0,4,12,3,15,12,10,1,2,33.33
135,Scott Mayfield,NYI,D,66,1122.05,3,6,3,3,9,17.31,51,5.88,2.57,151,87,38,11,4,12,27,12,11,1,0,12,59,27,89,81,105,0,0,-
217,Tyler Motte,DET,C,55,622.28333333333,4,5,4,1,9,60.00,66,6.06,7.81,134,97,68,35,12,6,6,3,3,0,0,11,31,16,72,54,48,60,85,41.38
266,Joel Hanley,CGY,D,53,984.76666666667,2,7,2,5,9,22.50,42,4.76,1.64,129,79,35,3,5,8,21,9,8,1,0,7,67,7,55,109,90,0,0,-
273,Tomas Nosek,FLA,L,59,579.2,1,8,6,2,9,50.00,47,2.13,7.12,114,80,66,39,7,16,10,5,5,0,0,7,20,5,83,59,24,236,220,51.75
331,Jonas Siegenthaler,N.J,D,55,1078.0833333333,2,7,1,6,9,25.71,52,3.85,2.61,133,82,48,7,5,12,44,18,17,0,1,14,59,14,75,123,92,0,0,-
413,Carl Grundstrom,S.J,R,56,537.4,3,6,5,1,9,75.00,88,3.41,7.74,151,119,71,31,7,11,24,11,11,0,0,6,35,5,170,68,18,3,4,42.86
428,Tyson Jost,CAR,C,39,404.53333333333,4,5,1,4,9,52.94,44,9.09,5.16,77,61,54,22,5,9,33,11,9,1,1,9,9,6,46,45,17,57,69,45.24
430,Joshua Mahura,SEA,D,64,880.33333333333,0,9,5,4,9,26.47,58,0.00,2.57,135,88,27,4,4,12,20,10,10,0,0,4,41,10,89,129,54,0,0,-
521,Jan Rutta,S.J,D,54,931.83333333333,3,6,2,4,9,26.47,55,5.45,1.74,152,83,29,7,5,16,28,14,14,0,0,5,55,11,40,85,81,0,0,-
600,Scott Perunovich,"NYI, STL",D,35,560.25,2,7,4,3,9,30.00,18,11.11,0.81,43,28,14,2,1,4,10,5,5,0,0,6,29,10,15,39,37,0,0,-
666,Albert Johansson,DET,D,61,998.01666666667,3,6,2,4,9,30.00,48,6.25,2.12,130,73,34,1,6,7,30,11,10,0,1,10,54,15,70,118,83,0,0,-
682,Adam Edstrom,NYR,C,51,472.95,5,4,3,1,9,60.00,40,12.50,6.93,72,59,59,39,3,4,27,8,6,1,1,10,19,7,94,34,34,0,4,0.00
685,Marc Del Gaizo,NSH,D,46,770.6,2,7,4,3,9,31.03,76,2.63,4.09,158,103,51,10,3,17,21,9,8,1,0,2,38,19,71,74,53,0,0,-
737,Shakir Mukhamadullin,S.J,D,30,542.01666666667,2,7,3,4,9,47.37,30,6.67,1.79,84,53,31,7,2,8,8,4,4,0,0,4,33,5,25,47,51,0,0,-
764,Daniil Miromanov,CGY,D,44,777.9,2,7,3,4,9,30.00,52,3.85,2.3,143,75,40,9,8,11,12,6,6,0,0,2,42,11,20,57,55,0,0,-
826,Lian Bichsel,DAL,D,38,565.85,4,5,2,3,9,34.62,39,10.26,1.45,100,57,17,1,5,7,41,19,18,1,0,7,22,4,155,113,23,0,0,-
867,Marc Gatcomb,NYI,C,39,381.7,8,1,0,1,9,64.29,41,19.51,4.57,74,55,46,26,1,12,11,4,3,1,0,3,12,7,149,37,23,5,7,41.67
16,Jeff Petry,DET,D,44,831.45,1,7,4,3,8,27.59,33,3.03,1.64,107,57,31,6,4,13,16,8,8,0,0,3,51,16,51,78,77,0,0,-
61,Calvin de Haan,"COL, NYR",D,47,703.76666666667,0,8,4,4,8,28.57,51,0.00,1.9,146,87,34,6,10,11,12,6,6,0,0,4,35,7,71,42,63,0,0,-
88,Justin Holl,DET,D,73,1079.8166666667,2,6,5,1,8,22.22,41,4.88,1.83,107,77,27,5,5,8,16,8,8,0,0,3,66,8,35,154,78,0,0,-
