,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Shots,Shots,Shots,Ice Time,Ice Time,Faceoffs,Faceoffs,Faceoffs,,,,,,-additional
Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
706,Curtis Douglas,25,TBL,C,29,0,2,2,1,92,0,0,0,0,2,0,0,17,0.0,34,173:09,5:58,3,2,60.0,7,32,3,9,,douglcu01
706,Curtis Douglas,25,VAN,C,14,1,1,2,-4,16,1,0,0,0,1,0,0,12,8.3,24,117:06,8:22,3,5,37.5,5,32,3,9,,douglcu01
707,Maxim Tsyplakov,27,2TM,F,49,2,2,4,-17,6,2,0,0,0,2,0,0,42,4.8,91,446:55,9:07,9,11,45.0,8,83,8,28,,tsyplma01
707,Maxim Tsyplakov,27,NYI,F,27,1,1,2,-9,6,1,0,0,0,1,0,0,22,4.5,52,260:29,9:39,8,10,44.4,4,46,3,16,,tsyplma01
707,Maxim Tsyplakov,27,NJD,F,22,1,1,2,-8,0,1,0,0,0,1,0,0,20,5.0,39,186:26,8:28,1,1,50.0,4,37,5,12,,tsyplma01
708,Marek Alscher,21,FLA,D,4,0,3,3,4,0,0,0,0,0,3,0,0,6,0.0,13,81:26,20:22,0,0,,6,4,1,3,,alschma01
709,Declan Carlile,25,TBL,D,42,1,2,3,5,40,1,0,0,0,2,0,0,33,3.0,99,620:41,14:47,0,0,,38,51,6,22,,carlide01
710,Jake Christiansen,26,CBJ,D,40,0,3,3,-7,8,0,0,0,0,3,0,0,26,0.0,77,401:45,10:03,0,0,,24,30,2,13,,chrisja01
711,Filip Chytil,26,VAN,C,12,3,0,3,-7,6,3,0,0,1,0,0,0,24,12.5,40,180:04,15:00,60,62,49.2,4,4,4,12,,chytifi01
712,Joey Daccord,29,SEA,G,47,0,3,3,0,4,0,0,0,0,3,0,0,3,0.0,7,2693:13,57:18,0,0,,0,0,0,37,,daccojo01
713,Mathew Dumba,31,PIT,D,11,1,2,3,-5,11,1,0,0,0,2,0,0,7,14.3,26,164:18,14:56,0,0,,12,16,6,8,,dumbama01
714,Cale Fleury,27,SEA,D,23,1,2,3,1,7,1,0,0,0,2,0,0,22,4.5,53,374:48,16:18,0,0,,34,50,4,20,,fleurca01
715,Jonah Gadjovich,27,FLA,LW,10,0,3,3,2,7,0,0,0,0,3,0,0,8,0.0,12,79:26,7:57,0,0,,3,30,3,3,,gadjojo01
716,Conor Geekie,21,TBL,C,14,1,2,3,-3,8,1,0,0,0,2,0,0,10,10.0,21,138:30,9:54,31,38,44.9,6,33,3,10,,geekico01
717,Erik Gudbranson,34,CBJ,D,37,1,2,3,6,19,1,0,0,0,2,0,0,34,2.9,88,657:32,17:46,0,0,,64,45,7,33,,gudbrer01
718,Jordan Harris,25,BOS,D,8,1,2,3,0,0,1,0,0,0,2,0,0,12,8.3,19,127:11,15:54,0,0,,5,5,1,6,,harrijo01
719,Garnet Hathaway,34,PHI,RW,66,1,2,3,-6,59,1,0,0,0,2,0,0,34,2.9,73,686:34,10:24,15,10,60.0,58,252,9,35,,hathaga01
720,Vincent Iorio,23,2TM,D,27,0,3,3,-4,12,0,0,0,0,3,0,0,15,0.0,41,424:54,15:44,0,0,,39,15,7,26,,ioriovi01
720,Vincent Iorio,23,SJS,D,21,0,3,3,-4,12,0,0,0,0,3,0,0,10,0.0,34,346:24,16:30,0,0,,32,11,4,14,,ioriovi01
720,Vincent Iorio,23,NYR,D,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,7,78:30,13:05,0,0,,7,4,3,12,,ioriovi01
721,Ben Jones,26,MIN,F,28,1,2,3,-10,0,1,0,0,0,2,0,0,26,3.8,45,247:17,8:50,73,66,52.5,11,58,1,9,,jonesbe01
722,Joakim Kemell,21,NSH,RW,16,1,2,3,2,0,1,0,0,0,2,0,0,12,8.3,34,166:34,10:25,1,7,12.5,9,25,4,5,,kemeljo01
723,Matthew Kessel,25,STL,D,29,2,1,3,1,10,2,0,0,1,1,0,0,20,10.0,43,363:34,12:32,0,0,,26,22,1,15,,kessema01
724,Vladislav Kolyachonok,24,2TM,D,13,1,2,3,2,4,1,0,0,1,2,0,0,12,8.3,24,163:02,12:32,0,0,,13,5,3,4,,kolyavl01
724,Vladislav Kolyachonok,24,DAL,D,11,1,2,3,3,4,1,0,0,1,2,0,0,10,10.0,19,138:51,12:37,0,0,,10,5,2,1,,kolyavl01
724,Vladislav Kolyachonok,24,BOS,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,5,24:11,12:06,0,0,,3,0,1,3,,kolyavl01
725,Jonathan Lekkerimäki,21,VAN,RW,13,2,1,3,-3,0,2,0,0,0,1,0,0,10,20.0,26,151:49,11:41,0,0,,5,10,1,7,,lekkejo01
726,Josh Mahura,27,SEA,D,23,1,2,3,8,16,1,0,0,1,2,0,0,15,6.7,41,360:13,15:40,0,0,,36,26,2,13,,mahurjo01
727,Victor Mancini,23,VAN,D,24,0,3,3,-12,7,0,0,0,0,3,0,0,14,0.0,32,329:38,13:44,0,0,,26,28,1,14,,mancivi01
728,Ivan Miroshnichenko,21,WSH,LW,13,2,1,3,1,2,2,0,0,0,1,0,0,12,16.7,32,125:20,9:38,0,0,,6,19,0,5,,mirosiv01
729,Bradly Nadeau,20,CAR,LW,12,3,0,3,1,2,2,1,0,0,0,0,0,12,25.0,34,155:32,12:58,0,3,0.0,5,21,0,8,,nadeabr01
730,Juuso Pärssinen,24,NYR,C,20,2,1,3,4,10,2,0,0,0,1,0,0,16,12.5,28,176:53,8:51,28,32,46.7,9,28,3,9,,parssju01
731,Noah Philp,27,2TM,F,17,2,1,3,-7,4,2,0,0,0,1,0,0,14,14.3,22,169:02,9:57,69,54,56.1,2,30,5,7,,philpno01
731,Noah Philp,27,EDM,F,15,2,1,3,-7,4,2,0,0,0,1,0,0,12,16.7,19,150:36,10:02,58,44,56.9,2,24,4,7,,philpno01
731,Noah Philp,27,CAR,F,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,3,18:26,9:13,11,10,52.4,0,6,1,0,,philpno01
732,Martin Pospisil,26,CGY,C,22,1,2,3,-4,17,1,0,0,0,2,0,0,19,5.3,36,223:20,10:09,16,18,47.1,6,84,3,5,,pospima01
733,Jacob Quillan,23,TOR,F,23,1,2,3,-5,2,1,0,0,0,2,0,0,14,7.1,32,236:12,10:16,68,94,42.0,13,46,6,12,,quillja01
734,Ryan Reaves,39,SJS,RW,50,3,0,3,-12,37,3,0,0,0,0,0,0,25,12.0,55,390:24,7:48,0,2,0.0,15,160,8,19,,reavery01
735,Alec Regula,25,EDM,D,29,0,3,3,-16,35,0,0,0,0,3,0,0,18,0.0,51,419:36,14:28,0,0,,44,15,7,28,,regulal01
736,Dominik Shine,32,DET,F,18,3,0,3,0,7,3,0,0,0,0,0,0,13,23.1,19,124:50,6:56,5,6,45.5,6,14,6,8,,shinedo01
737,Arturs Silovs,24,PIT,G,39,0,3,3,0,4,0,0,0,0,2,1,0,0,,0,2246:33,57:36,0,0,,0,0,0,13,,silovar01
738,Brandon Tanev,34,UTA,LW,56,0,3,3,-15,50,0,0,0,0,3,0,0,42,0.0,86,524:04,9:22,3,11,21.4,34,155,7,35,,tanevbr01
739,Lassi Thomson,25,OTT,D,11,0,3,3,3,0,0,0,0,0,2,1,0,11,0.0,31,151:12,13:45,0,0,,9,6,4,6,,thomsla01
740,Marshall Warren,24,NYI,D,8,0,3,3,0,4,0,0,0,0,3,0,0,7,0.0,19,91:49,11:29,0,0,,5,7,1,7,,warrema01
741,Brennan Othmann,23,2TM,LW,19,2,1,3,-8,11,2,0,0,0,0,1,0,15,13.3,30,190:02,10:00,0,3,0.0,8,44,2,5,,othmabr01
741,Brennan Othmann,23,NYR,LW,17,1,0,1,-4,11,1,0,0,0,0,0,0,13,7.7,23,167:55,9:53,0,2,0.0,8,40,2,5,,othmabr01
741,Brennan Othmann,23,CGY,LW,2,1,1,2,-4,0,1,0,0,0,0,1,0,2,50.0,7,22:07,11:04,0,1,0.0,0,4,0,0,,othmabr01
742,Egor Zamula,25,2TM,D,33,0,3,3,6,4,0,0,0,0,3,0,0,18,0.0,51,431:13,13:04,0,0,,40,7,6,27,,zamulye01
742,Egor Zamula,25,PHI,D,13,0,1,1,4,4,0,0,0,0,1,0,0,9,0.0,19,182:23,14:02,0,0,,15,2,1,10,,zamulye01
742,Egor Zamula,25,CBJ,D,20,0,2,2,2,0,0,0,0,0,2,0,0,9,0.0,32,248:50,12:27,0,0,,25,5,5,17,,zamulye01
743,Jack Ahcan,28,COL,D,11,0,2,2,2,2,0,0,0,0,2,0,0,8,0.0,19,126:51,11:32,0,0,,6,6,0,6,,ahcanja01
744,Nicolas Aubé-Kubel,29,MIN,RW,6,0,2,2,1,6,0,0,0,0,2,0,0,5,0.0,13,69:42,11:37,0,5,0.0,5,7,2,1,,aubekni01
745,Jake Bean,27,CGY,D,16,1,1,2,-7,16,1,0,0,0,1,0,0,16,6.3,44,255:16,15:57,0,0,,29,3,5,15,,beanja01
746,Jordan Binnington,32,STL,G,41,0,2,2,0,4,0,0,0,0,1,1,0,0,,0,2307:48,56:17,0,0,,0,0,0,17,,binnijo01
747,Sergei Bobrovsky,37,FLA,G,52,0,2,2,0,9,0,0,0,0,1,1,0,0,,0,3009:39,57:53,0,0,,0,0,0,19,,bobrose01
748,Sacha Boisvert,19,CHI,F,7,1,1,2,-1,9,1,0,0,1,1,0,0,6,16.7,12,64:43,9:15,17,28,37.8,1,9,0,4,,boisvsa01
749,Oliver Bonk,21,PHI,D,1,1,1,2,1,0,1,0,0,0,1,0,0,1,100.0,1,16:28,16:28,0,0,,0,2,0,2,,bonkol01
750,Dennis Cholowski,27,NJD,D,17,0,2,2,-6,2,0,0,0,0,2,0,0,12,0.0,25,249:25,14:40,0,0,,17,3,5,18,,cholode01
751,Drew Fortescue,20,NYR,D,9,0,2,2,4,4,0,0,0,0,2,0,0,3,0.0,13,133:35,14:51,0,0,,7,6,0,5,,fortedr01
752,Philipp Grubauer,34,SEA,G,32,0,2,2,0,0,0,0,0,0,2,0,0,0,,0,1791:06,55:58,0,0,,0,0,0,12,,grubaph01
753,Filip Gustavsson,27,MIN,G,50,0,2,2,0,0,0,0,0,0,0,2,0,0,,0,2967:55,59:22,0,0,,0,0,0,24,,gustafi01
754,Hunter Haight,21,MIN,C,9,1,1,2,-5,4,1,0,0,0,1,0,0,13,7.7,19,97:32,10:50,30,37,44.8,2,10,1,4,,haighhu01
755,Brian Halonen,27,NJD,F,15,1,1,2,-1,9,1,0,0,1,1,0,0,7,14.3,19,114:11,7:37,0,1,0.0,2,28,3,5,,halonbr01
756,Travis Hamonic,35,DET,D,26,0,2,2,-11,29,0,0,0,0,2,0,0,21,0.0,44,373:50,14:23,0,0,,41,32,6,19,,hamontr01
757,Justin Holl,34,STL,D,9,1,1,2,5,6,1,0,0,1,1,0,0,7,14.3,16,141:03,15:40,0,0,,5,5,4,3,,hollju01
758,Connor Ingram,28,EDM,G,32,0,2,2,0,2,0,0,0,0,2,0,0,0,,0,1778:14,55:34,0,0,,0,0,0,10,,ingraco01
759,Michael Kesselring,26,BUF,D,34,0,2,2,0,50,0,0,0,0,2,0,0,46,0.0,102,455:25,13:24,0,0,,38,25,7,38,,kessemi01
760,Justin Kirkland,29,CGY,LW,20,1,1,2,1,2,1,0,0,1,1,0,0,11,9.1,29,196:27,9:49,63,63,50.0,11,29,3,14,,kirklju01
761,Kevin Korchinski,21,CHI,D,13,0,2,2,-4,4,0,0,0,0,2,0,0,7,0.0,17,177:17,13:38,0,0,,13,4,2,13,,korchke01
762,Kirill Kudryavtsev,21,VAN,D,3,0,2,2,2,0,0,0,0,0,2,0,0,4,0.0,9,46:54,15:38,0,0,,1,1,0,1,,kudryki01
763,Sam Lafferty,30,CHI,C,29,1,1,2,-2,14,1,0,0,0,1,0,0,9,11.1,20,249:19,8:36,26,26,50.0,5,35,2,15,,laffesa01
764,Juho Lammikko,30,NJD,RW,24,0,2,2,-4,4,0,0,0,0,2,0,0,15,0.0,25,237:00,9:53,55,57,49.1,14,40,2,4,,lammiju01
765,Kevin Lankinen,30,VAN,G,47,0,2,2,0,4,0,0,0,0,1,1,0,0,,0,2592:21,55:09,0,0,,0,0,0,8,,lankike01
766,Andre Lee,25,LAK,LW,7,1,1,2,-2,0,1,0,0,0,1,0,0,5,20.0,14,71:59,10:17,0,0,,3,17,3,2,,leean02
767,Charles-Alexis Legault,22,CAR,D,12,1,1,2,5,15,1,0,0,0,1,0,0,12,8.3,33,171:32,14:18,0,0,,10,13,7,13,,legauch01
768,Olle Lycksell,26,OTT,RW,7,1,1,2,-2,0,1,0,0,1,1,0,0,7,14.3,10,69:08,9:53,0,0,,4,4,1,1,,lycksol01
769,Hugh McGing,27,STL,LW,3,1,1,2,0,0,1,0,0,0,1,0,0,4,25.0,5,32:37,10:52,4,1,80.0,2,0,1,2,,mcginhu01
770,Elvis Merzļikins,31,CBJ,G,30,0,2,2,0,0,0,0,0,0,2,0,0,0,,0,1678:37,55:57,0,0,,0,0,0,13,,merzlel01
771,Colin Miller,33,WPG,D,18,0,2,2,-8,6,0,0,0,0,1,1,0,20,0.0,60,256:57,14:17,0,0,,13,29,4,13,,milleco02
772,Oscar Fisker Molgaard,20,SEA,C,13,0,2,2,2,2,0,0,0,0,2,0,0,6,0.0,15,120:04,9:14,34,42,44.7,8,9,1,8,,fiskeos01
773,Philippe Myers,29,TOR,D,39,0,2,2,-10,22,0,0,0,0,2,0,0,42,0.0,98,567:11,14:33,0,0,,51,55,4,35,,myersph01
774,Logan O'Connor,29,COL,RW,13,0,2,2,-1,4,0,0,0,0,2,0,0,13,0.0,22,148:47,11:27,0,1,0.0,3,11,3,6,,oconnlo01
775,Tyler Pitlick,34,MIN,C,32,2,0,2,-4,24,2,0,0,0,0,0,0,26,7.7,50,248:44,7:46,0,3,0.0,19,78,5,8,,pitlity01
776,Wilmer Skoog,26,FLA,F,3,0,2,2,3,4,0,0,0,0,2,0,0,4,0.0,10,45:03,15:01,0,0,,5,2,0,1,,skoogwi01
777,Brendan Smith,36,CBJ,D,15,0,2,2,-1,11,0,0,0,0,2,0,0,10,0.0,21,166:10,11:05,0,0,,11,12,5,15,,smithbr05
778,Chris Tanev,36,TOR,D,11,0,2,2,8,0,0,0,0,0,2,0,0,8,0.0,18,197:42,17:58,0,0,,15,2,5,8,,tanevch01
779,Andrei Vasilevskiy,31,TBL,G,58,0,2,2,0,11,0,0,0,0,2,0,0,0,,0,3430:45,59:09,0,0,,0,0,0,24,,vasilan02
780,Karel Vejmelka,29,UTA,G,64,0,2,2,0,2,0,0,0,0,2,0,0,0,,0,3692:45,57:42,0,0,,0,0,0,27,,vejmeka01
781,Carter Yakemchuk,20,OTT,D,4,1,1,2,-1,2,1,0,0,0,0,1,0,5,20.0,13,58:08,14:32,0,0,,4,0,1,7,,yakemca01
782,Nicolas Deslauriers,34,2TM,LW,31,0,2,2,-3,38,0,0,0,0,2,0,0,18,0.0,36,264:58,8:33,1,0,100.0,8,121,3,10,,deslani01
782,Nicolas Deslauriers,34,PHI,LW,24,0,1,1,-3,33,0,0,0,0,1,0,0,13,0.0,24,193:58,8:05,1,0,100.0,8,86,3,8,,deslani01
782,Nicolas Deslauriers,34,CAR,LW,7,0,1,1,0,5,0,0,0,0,1,0,0,5,0.0,12,71:00,10:09,0,0,,0,35,0,2,,deslani01
783,Jake Allen,35,NJD,G,37,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,2186:34,59:06,0,0,,0,0,0,12,,allenja01
784,Frederik Andersen,36,CAR,G,35,0,1,1,0,4,0,0,0,0,1,0,0,0,,1,2101:52,60:03,0,0,,0,0,0,29,,anderfr01
785,Alex Barré-Boulet,28,COL,F,2,0,1,1,0,0,0,0,0,0,1,0,0,0,,3,16:48,8:24,2,0,100.0,0,3,0,0,,barreal01
786,Owen Beck,21,MTL,C,15,1,0,1,4,6,1,0,0,0,0,0,0,11,9.1,25,137:50,9:11,44,31,58.7,8,24,2,10,,beckow01
787,Anton Blidh,30,NYR,LW,4,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,5,30:49,7:42,0,0,,0,10,0,1,,blidhan01
788,Angus Booth,21,LAK,D,1,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,2,12:18,12:18,0,0,,1,2,0,1,,boothan01
789,Michael Brandsegg-Nygard,20,DET,F,14,0,1,1,-5,2,0,0,0,0,1,0,0,20,0.0,46,175:14,12:31,0,0,,3,43,5,12,,brandmi01
790,Brendan Brisson,24,NYR,C,3,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,3,31:46,10:35,0,0,,1,1,1,1,,brissbr01
791,Harrison Brunicke,19,PIT,D,9,1,0,1,-4,6,1,0,0,0,0,0,0,8,12.5,22,141:26,15:43,0,0,,13,4,1,14,,bruniha01
792,Brandon Bussi,27,CAR,G,39,0,1,1,0,2,0,0,0,0,1,0,0,0,,0,2360:49,60:32,0,0,,0,0,0,29,,bussibr01
793,Ethan Cardwell,23,SJS,RW,7,1,0,1,-3,2,1,0,0,1,0,0,0,6,16.7,19,83:31,11:56,0,0,,1,9,3,5,,cardwet01
794,Mitchell Chaffee,28,TBL,F,11,0,1,1,-2,4,0,0,0,0,1,0,0,9,0.0,12,105:10,9:34,5,5,50.0,5,29,0,7,,chaffmi01
795,Connor Clattenburg,20,EDM,F,5,1,0,1,1,13,1,0,0,0,0,0,0,3,33.3,7,36:02,7:12,0,0,,3,17,0,4,,clattco01
796,Sam Colangelo,24,ANA,RW,9,1,0,1,-3,4,1,0,0,0,0,0,0,7,14.3,17,91:36,10:11,1,1,50.0,1,11,1,8,,colansa01
797,Devin Cooley,28,CGY,G,31,0,1,1,0,2,0,0,0,0,0,1,0,0,,0,1718:00,55:25,0,0,,0,0,0,17,,coolede01
798,Angus Crookshank,26,NJD,LW,8,1,0,1,1,4,1,0,0,0,0,0,0,4,25.0,9,68:51,8:36,1,2,33.3,7,5,0,2,,crookan01
799,Cameron Crotty,26,OTT,D,6,0,1,1,0,0,0,0,0,0,1,0,0,5,0.0,9,89:31,14:55,0,0,,3,3,2,3,,crottca01
800,Evgenii Dadonov,36,NJD,RW,24,1,0,1,-6,2,1,0,0,0,0,0,0,20,5.0,39,255:43,10:39,0,1,0.0,12,7,2,15,,dadonev01
801,Jared Davidson,23,MTL,C,10,0,1,1,-4,10,0,0,0,0,1,0,0,9,0.0,19,87:10,8:43,0,1,0.0,1,18,1,5,,davidja01
802,Luca Del Bel Belluz,22,CBJ,C,14,0,1,1,-2,4,0,0,0,0,1,0,0,11,0.0,16,127:22,9:06,23,37,38.3,10,3,2,1,,delbelu01
803,Ethan Del Mastro,23,CHI,D,19,0,1,1,-11,18,0,0,0,0,1,0,0,18,0.0,39,268:29,14:08,0,0,,22,19,5,16,,delmaet01
804,Thatcher Demko,30,VAN,G,20,0,1,1,0,0,0,0,0,0,0,1,0,0,,0,1115:52,55:48,0,0,,0,0,0,9,,demkoth01
805,Lukáš Dostál,25,ANA,G,56,0,1,1,0,8,0,0,0,0,1,0,0,0,,2,3267:56,58:21,0,0,,0,0,0,25,,dostalu01
806,Victor Eklund,19,NYI,RW,1,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,2,15:30,15:30,0,0,,0,2,0,0,,eklunvi01
807,Colten Ellis,25,BUF,G,16,0,1,1,0,0,0,0,0,0,1,0,0,0,,1,911:20,56:58,0,0,,0,0,0,12,,ellisco01
808,Adam Engstrom,22,MTL,D,15,0,1,1,2,8,0,0,0,0,1,0,0,11,0.0,29,195:47,13:03,0,0,,8,7,2,7,,engstad01
809,Samuel Ersson,26,PHI,G,33,0,1,1,0,2,0,0,0,0,1,0,0,0,,0,1866:35,56:34,0,0,,0,0,0,5,,erssosa01
810,Nolan Foote,25,FLA,LW,12,1,0,1,-4,6,1,0,0,0,0,0,0,13,7.7,27,129:31,10:48,0,0,,4,27,2,2,,footeno01
811,Parker Ford,25,WPG,F,15,0,1,1,-2,4,0,0,0,0,1,0,0,10,0.0,25,146:15,9:45,30,36,45.5,12,27,2,1,,fordpa01
812,Isaiah George,21,NYI,D,4,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,6,53:29,13:22,0,0,,3,1,2,2,,georgis01
813,John Gibson,32,DET,G,57,0,1,1,0,4,0,0,0,0,1,0,0,0,,1,3181:14,55:49,0,0,,0,0,0,27,,gibsojo02
814,Dennis Gilbert,29,OTT,D,8,0,1,1,0,2,0,0,0,0,1,0,0,2,0.0,7,101:30,12:41,0,0,,12,10,0,6,,gilbede01
815,Patrick Giles,26,SJS,F,3,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,5,26:36,8:52,9,6,60.0,2,3,0,1,,gilespa01
816,Ryan Graves,30,PIT,D,22,1,0,1,-3,10,1,0,0,0,0,0,0,21,4.8,72,336:41,15:18,0,0,,38,23,7,20,,gravery01
817,Jet Greaves,24,CBJ,G,55,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,1,3276:06,59:34,0,0,,0,0,0,17,,greavje01
818,Maxim Groshev,24,TBL,RW,2,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,1,23:00,11:30,0,0,,1,0,0,1,,groshma01
819,Tyson Gross,,CGY,F,6,1,0,1,-2,2,1,0,0,0,0,0,0,5,20.0,9,66:09,11:02,27,26,50.9,5,4,1,2,,grossty01
820,James Hagens,19,BOS,C,2,0,1,1,1,2,0,0,0,0,1,0,0,2,0.0,5,29:06,14:33,1,0,100.0,0,1,3,3,,hagenja01
821,Luke Haymes,22,TOR,F,4,0,1,1,-2,2,0,0,0,0,1,0,0,3,0.0,7,54:13,13:33,8,18,30.8,2,3,0,1,,haymelu01
822,Adin Hill,29,VEG,G,27,0,1,1,0,2,0,0,0,0,1,0,0,0,,1,1497:49,55:28,0,0,,0,0,0,7,,hillad01
823,Mikulas Hovorka,24,FLA,D,4,0,1,1,-1,0,0,0,0,0,1,0,0,3,0.0,8,59:38,14:55,0,0,,2,3,1,6,,hovormi01
824,Cameron Hughes,29,DAL,C,3,1,0,1,2,0,1,0,0,0,0,0,0,2,50.0,2,21:57,7:19,0,0,,2,3,0,1,,hugheca01
825,Quinn Hutson,24,EDM,F,4,1,0,1,-1,0,1,0,0,1,0,0,0,3,33.3,6,31:59,8:00,0,1,0.0,1,0,0,3,,hutsoqu01
826,Ivan Ivan,23,COL,F,9,0,1,1,1,2,0,0,0,0,1,0,0,4,0.0,7,67:04,7:27,10,14,41.7,1,3,0,3,,ivaniv01
827,Ludvig Jansson,22,FLA,D,4,0,1,1,2,0,0,0,0,0,0,1,0,3,0.0,6,69:05,17:16,0,0,,5,0,1,4,,jansslu01
828,Tristan Jarry,30,2TM,G,33,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,1,1773:37,53:45,0,0,,0,0,0,14,,jarrytr01
828,Tristan Jarry,30,PIT,G,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,810:45,57:55,0,0,,0,0,0,4,,jarrytr01
828,Tristan Jarry,30,EDM,G,19,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,1,962:52,50:41,0,0,,0,0,0,10,,jarrytr01
829,Caleb Jones,28,PIT,D,7,0,1,1,1,0,0,0,0,0,1,0,0,5,0.0,17,120:12,17:10,0,0,,15,10,1,4,,jonesca01
830,Arthur Kaliyev,24,OTT,RW,2,0,1,1,0,0,0,0,0,0,0,1,0,4,0.0,8,21:13,10:37,0,0,,0,0,0,2,,kaliyar01
831,Matt Kiersted,27,MIN,D,6,0,1,1,0,0,0,0,0,0,0,0,1,4,0.0,5,94:22,15:44,0,0,,10,0,0,10,,kiersma01
832,Spencer Knight,24,CHI,G,55,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,1,3293:15,59:53,0,0,,0,0,0,37,,knighsp01
833,Joona Koppanen,27,PIT,LW,13,0,1,1,-2,2,0,0,0,0,1,0,0,7,0.0,18,157:48,12:08,20,28,41.7,4,11,4,5,,koppajo01
834,Darcy Kuemper,35,LAK,G,50,0,1,1,0,6,0,0,0,0,0,1,0,0,,0,2887:54,57:45,0,0,,0,0,0,17,,kuempda01
835,Patrik Laine,27,MTL,RW,5,0,1,1,-3,2,0,0,0,0,1,0,0,6,0.0,20,63:02,12:36,2,1,66.7,0,2,0,2,,lainepa01
836,Maveric Lamoureux,22,UTA,D,5,0,1,1,4,2,0,0,0,0,1,0,0,4,0.0,10,73:16,14:39,0,0,,9,11,2,4,,lamouma01
837,Charlie Lindgren,32,WSH,G,21,0,1,1,0,8,0,0,0,0,1,0,0,1,0.0,1,1246:02,59:20,0,0,,0,0,0,19,,lindgch01
838,Matt Luff,28,STL,RW,5,1,0,1,-2,0,1,0,0,0,0,0,0,5,20.0,7,45:40,9:08,0,0,,4,8,2,0,,luffma01
839,Tristan Luneau,22,ANA,D,1,1,0,1,2,0,1,0,0,0,0,0,0,2,50.0,3,11:37,11:37,0,0,,1,1,0,0,,luneatr01
840,Ukko-Pekka Luukkonen,26,BUF,G,35,0,1,1,0,4,0,0,0,0,1,0,0,0,,0,2027:46,57:56,0,0,,0,0,0,20,,luukkuk01
841,Alex Lyon,33,BUF,G,36,0,1,1,0,4,0,0,0,0,0,1,0,0,,0,1992:01,55:20,0,0,,0,0,0,16,,lyonal01
842,Kurtis MacDermid,31,OTT,LW,19,0,1,1,-5,33,0,0,0,0,1,0,0,4,0.0,5,79:50,4:12,0,0,,6,18,0,2,,macdeku01
843,Brady Martin,18,NSH,C,3,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,3,34:15,11:25,5,11,31.3,2,0,0,4,,martibr02
844,Dysin Mayo,29,CBJ,D,3,0,1,1,1,0,0,0,0,0,1,0,0,5,0.0,7,25:12,8:24,0,0,,1,0,0,0,,mayody01
845,Hunter Mcdonald,23,PHI,D,1,0,1,1,3,4,0,0,0,0,1,0,0,0,,1,15:11,15:11,0,0,,1,5,0,0,,mcdonhu02
846,Dakota Mermis,32,TOR,D,11,1,0,1,-3,11,1,0,0,0,0,0,0,5,20.0,15,143:18,13:02,0,0,,9,8,2,8,,mermida01
847,Keaton Middleton,27,COL,D,3,0,1,1,-1,4,0,0,0,0,1,0,0,0,,4,32:16,10:45,0,0,,1,6,0,1,,middlke01
848,Travis Mitchell,26,NYI,D,9,1,0,1,0,6,1,0,0,0,0,0,0,4,25.0,13,103:50,11:32,0,0,,6,13,0,6,,mitchtr01
849,Ty Mueller,22,VAN,C,6,1,0,1,1,2,1,0,0,0,0,0,0,2,50.0,7,65:08,10:51,10,11,47.6,4,5,1,3,,muellty01
850,Alex Nedeljkovic,30,SJS,G,40,0,1,1,0,9,0,0,0,0,1,0,0,0,,0,2277:58,56:57,0,0,,0,0,0,28,,nedelal01
851,Tristen Nielsen,25,COL,F,4,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,6,25:13,6:18,0,0,,1,9,0,2,,nielstr01
852,Cole O'Hara,23,NSH,RW,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,1,11:23,11:23,0,0,,0,2,1,2,,oharaco01
853,Jake Oettinger,27,DAL,G,54,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,3194:11,59:09,0,0,,0,0,0,15,,oettija01
854,Matthew Poitras,21,BOS,C,3,1,0,1,1,4,1,0,0,0,0,0,0,8,12.5,8,36:21,12:07,7,11,38.9,2,0,0,1,,poitrma01
