,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Shots,Shots,Shots,Ice Time,Ice Time,Faceoffs,Faceoffs,Faceoffs,,,,,,-additional
Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
402,Nic Dowd,35,WSH,C,55,4,12,16,-6,53,4,0,0,0,12,0,0,48,8.3,93,855:28,15:33,373,393,48.7,43,113,15,36,,dowdni01
402,Nic Dowd,35,VEG,C,20,1,4,5,2,20,0,0,1,0,4,0,0,18,5.6,42,235:11,11:46,103,99,51.0,7,27,4,7,,dowdni01
403,Ryan Strome,32,2TM,C,52,8,13,21,-8,35,7,1,0,1,12,1,0,57,14.0,119,691:15,13:18,186,220,45.8,15,22,8,42,,stromry01
403,Ryan Strome,32,ANA,C,33,3,6,9,-5,27,2,1,0,0,6,0,0,35,8.6,81,401:26,12:10,94,106,47.0,8,16,5,22,,stromry01
403,Ryan Strome,32,CGY,C,19,5,7,12,-3,8,5,0,0,1,6,1,0,22,22.7,38,289:49,15:15,92,114,44.7,7,6,3,20,,stromry01
404,Michael Anderson,26,LAK,D,80,4,16,20,8,22,4,0,0,1,16,0,0,61,6.6,173,1645:37,20:34,0,0,,133,111,14,53,,andermi02
405,Zemgus Girgensons,32,TBL,C,74,9,11,20,1,31,9,0,0,2,11,0,0,89,10.1,176,1092:48,14:46,100,124,44.6,44,195,6,42,,girgeze01
406,Matvei Gridin,19,CGY,F,37,6,14,20,-14,2,5,1,0,0,8,6,0,70,8.6,140,561:05,15:10,3,14,17.6,28,11,7,42,,gridima01
407,Philipp Kurashev,26,SJS,C,43,7,13,20,1,16,7,0,0,1,11,2,0,62,11.3,113,666:08,15:29,34,45,43.0,14,40,8,32,,kurasph01
408,Jake Walman,29,EDM,D,53,8,12,20,-17,10,5,1,2,1,11,1,0,96,8.3,208,993:47,18:45,0,0,,90,15,14,60,,walmaja01
409,Scott Laughton,31,2TM,C,64,13,7,20,-5,31,10,1,2,2,6,1,0,95,13.7,180,918:40,14:21,443,325,57.7,42,121,14,59,,laughsc01
409,Scott Laughton,31,TOR,C,43,8,4,12,-3,17,6,0,2,1,4,0,0,53,15.1,98,587:30,13:40,279,213,56.7,28,78,10,32,,laughsc01
409,Scott Laughton,31,LAK,C,21,5,3,8,-2,14,4,1,0,1,2,1,0,42,11.9,82,331:10,15:46,164,112,59.4,14,43,4,27,,laughsc01
410,Igor Chernyshov,20,SJS,LW,28,9,10,19,2,6,6,3,0,2,8,2,0,46,19.6,81,421:37,15:03,0,0,,13,17,4,24,,chernig01
411,Dylan DeMelo,32,WPG,D,82,3,16,19,7,40,3,0,0,0,14,0,2,75,4.0,199,1759:30,21:27,0,0,,109,115,23,80,,demeldy01
412,Pierre-Luc Dubois,27,WSH,C,29,5,14,19,-4,19,2,3,0,0,11,3,0,42,11.9,87,487:50,16:49,181,202,47.3,13,23,5,28,,duboipi01
413,Marco Kasper,21,DET,C,81,9,10,19,-20,33,8,1,0,2,8,1,1,131,6.9,239,1117:21,13:48,230,217,51.5,51,186,14,55,,kaspema01
414,Blake Lizotte,28,PIT,C,55,7,12,19,6,25,6,0,1,1,12,0,0,49,14.3,106,763:06,13:52,238,238,50.0,35,49,12,32,,lizotbl01
415,Oliver Moore,21,CHI,C,51,5,14,19,-15,19,3,2,0,0,11,3,0,57,8.8,111,654:56,12:51,99,106,48.3,13,25,15,41,,mooreol01
416,Nino Niederreiter,33,WPG,RW,61,8,11,19,-7,18,7,1,0,2,7,4,0,84,9.5,150,839:55,13:46,3,4,42.9,20,70,9,41,,niedeni01
417,Taylor Raddysh,27,NYR,RW,68,9,10,19,5,12,8,0,1,0,9,1,0,53,17.0,106,805:20,11:51,3,12,20.0,40,49,14,25,,raddyta01
418,Matt Roy,30,WSH,D,79,2,17,19,18,12,2,0,0,0,17,0,0,93,2.2,212,1628:11,20:37,0,0,,146,116,12,69,,royma04
419,Max Sasson,25,VAN,F,66,13,6,19,-13,26,13,0,0,0,5,1,0,62,21.0,114,773:27,11:43,122,168,42.1,36,30,12,38,,sassoma01
420,Samuel Girard,27,2TM,D,60,3,16,19,17,23,3,0,0,1,16,0,0,41,7.3,144,1086:01,18:06,0,0,,58,21,11,54,,girarsa01
420,Samuel Girard,27,COL,D,40,3,9,12,12,15,3,0,0,1,9,0,0,31,9.7,109,707:28,17:41,0,0,,37,15,9,36,,girarsa01
420,Samuel Girard,27,PIT,D,20,0,7,7,5,8,0,0,0,0,7,0,0,10,0.0,35,378:33,18:56,0,0,,21,6,2,18,,girarsa01
421,Kevin Bahl,25,CGY,D,76,4,14,18,2,47,4,0,0,2,12,1,1,57,7.0,144,1668:06,21:57,0,0,,99,114,42,90,,bahlke01
422,Jonas Brodin,32,MIN,D,62,4,14,18,19,16,4,0,0,1,13,1,0,76,5.3,166,1257:59,20:17,0,0,,126,10,13,44,,brodijo01
423,William Carrier,31,CAR,LW,70,7,11,18,5,18,7,0,0,2,11,0,0,80,8.8,172,752:46,10:45,7,11,38.9,18,172,15,19,,carriwi01
424,Casey Cizikas,34,NYI,C,81,10,8,18,-3,20,9,0,1,0,7,0,1,80,12.5,156,953:12,11:46,351,291,54.7,57,153,10,49,,cizikca01
425,Michael Eyssimont,29,BOS,C,56,8,10,18,-3,31,7,1,0,1,7,3,0,109,7.3,193,610:56,10:55,3,3,50.0,21,54,4,37,,eyssimi01
426,Dakota Joshua,29,TOR,C,55,10,8,18,-2,49,10,0,0,2,8,0,0,52,19.2,93,673:39,12:15,6,19,24.0,32,195,9,20,,joshuda01
427,Adam Klapka,25,CGY,F,79,6,12,18,-12,112,5,1,0,0,11,1,0,80,7.5,182,840:07,10:38,12,25,32.4,50,295,14,36,,klapkad01
428,Tyler Kleven,24,OTT,D,70,3,15,18,2,53,3,0,0,0,13,0,2,90,3.3,194,1214:25,17:21,0,0,,95,126,30,82,,klevety01
429,Steven Lorentz,29,TOR,C,71,7,11,18,-2,16,5,0,2,0,11,0,0,70,10.0,123,842:28,11:52,56,67,45.5,48,154,17,34,,lorenst01
430,Liam Ohgren,22,2TM,LW,69,8,10,18,-19,2,8,0,0,0,9,0,1,87,9.2,184,908:46,13:10,9,11,45.0,41,69,16,43,,ohgreli01
430,Liam Ohgren,22,MIN,LW,18,0,0,0,-3,0,0,0,0,0,0,0,0,18,0.0,40,171:36,9:32,2,1,66.7,8,29,1,7,,ohgreli01
430,Liam Ohgren,22,VAN,LW,51,8,10,18,-16,2,8,0,0,0,9,0,1,69,11.6,144,737:10,14:27,7,10,41.2,33,40,15,36,,ohgreli01
431,Kyle Palmieri,34,NYI,RW,25,6,12,18,-2,8,4,1,1,1,8,4,0,71,8.5,126,471:55,18:53,2,2,50.0,9,19,8,18,,palmiky01
432,Colton Parayko,32,STL,D,77,4,14,18,-6,23,4,0,0,0,14,0,0,105,3.8,246,1709:07,22:12,0,0,,172,95,35,92,,parayco01
433,Marcus Pettersson,29,VAN,D,82,3,15,18,-19,60,3,0,0,1,15,0,0,66,4.5,181,1759:08,21:27,0,0,,136,79,19,86,,pettema01
434,Matthew Robertson,24,NYR,D,72,6,12,18,-1,38,6,0,0,2,12,0,0,79,7.6,216,1253:07,17:24,0,0,,80,107,9,52,,roberma02
435,Eric Robinson,30,CAR,LW,67,12,6,18,7,8,12,0,0,3,5,0,1,84,14.3,182,765:40,11:26,1,12,7.7,13,90,9,29,,robiner01
436,Braden Schneider,24,NYR,D,82,2,16,18,-5,26,2,0,0,0,16,0,0,102,2.0,254,1676:16,20:27,0,0,,141,163,22,96,,schnebr01
437,Max Shabanov,25,NYI,F,44,5,13,18,-5,2,5,0,0,0,8,5,0,56,8.9,114,602:03,13:41,0,2,0.0,16,27,11,35,,shabama01
438,Conor Sheary,33,NYR,LW,62,7,11,18,1,14,6,0,1,1,9,2,0,81,8.6,167,874:03,14:06,16,14,53.3,36,22,18,42,,shearco01
439,Kevin Stenlund,29,UTA,C,80,4,14,18,-9,24,3,0,1,0,13,0,1,66,6.1,167,1158:17,14:29,618,523,54.2,61,43,13,50,,stenlke01
440,Ryan Winterton,22,SEA,C,68,4,14,18,0,15,4,0,0,1,14,0,0,87,4.6,159,814:35,11:59,0,6,0.0,33,74,21,37,,wintery01
441,Vinnie Hinostroza,31,2TM,C,65,6,12,18,-12,31,6,0,0,2,10,2,0,65,9.2,129,710:57,10:56,22,25,46.8,27,41,19,49,,hinosvi01
441,Vinnie Hinostroza,31,MIN,C,48,3,7,10,-8,15,3,0,0,2,5,2,0,46,6.5,102,494:25,10:18,20,20,50.0,19,30,14,38,,hinosvi01
441,Vinnie Hinostroza,31,FLA,C,17,3,5,8,-4,16,3,0,0,0,5,0,0,19,15.8,27,216:32,12:44,2,5,28.6,8,11,5,11,,hinosvi01
442,Denver Barkey,20,PHI,C,43,5,12,17,-6,16,4,1,0,0,9,3,0,43,11.6,77,576:31,13:24,7,11,38.9,19,43,8,27,,barkede01
443,Teddy Blueger,31,VAN,C,35,9,8,17,-12,22,5,1,3,1,8,0,0,51,17.6,99,577:55,16:31,199,215,48.1,16,55,8,26,,bluegte01
444,Berkly Catton,20,SEA,F,66,7,10,17,-8,31,6,1,0,2,9,1,0,78,9.0,161,853:45,12:56,70,88,44.3,30,8,16,40,,cattobe01
445,Jalen Chatfield,29,CAR,D,72,2,15,17,15,18,2,0,0,1,15,0,0,100,2.0,262,1450:01,20:08,0,0,,63,36,29,68,,chatfja01
446,Brian Dumoulin,34,LAK,D,82,2,15,17,-1,22,2,0,0,0,14,0,1,61,3.3,171,1455:36,17:45,0,0,,89,36,21,94,,dumoubr01
447,Ryker Evans,24,SEA,D,67,8,9,17,5,40,7,0,1,0,8,1,0,46,17.4,124,1192:56,17:48,0,0,,75,48,7,49,,evansry01
448,Radek Faksa,32,DAL,C,58,2,15,17,2,18,1,0,1,0,13,0,2,38,5.3,79,680:37,11:44,235,206,53.3,44,78,14,18,,faksara01
449,Tyson Foerster,24,PHI,RW,29,13,4,17,8,22,10,3,0,2,3,1,0,61,21.3,104,501:38,17:18,1,1,50.0,25,27,11,17,,foersty01
450,Victor Hedman,35,TBL,D,33,1,16,17,-1,10,1,0,0,0,10,6,0,50,2.0,135,622:37,18:52,0,0,,44,19,8,40,,hedmavi01
451,Nick Jensen,35,OTT,D,61,4,13,17,-2,22,4,0,0,0,13,0,0,36,11.1,121,1037:32,17:01,0,0,,66,38,11,51,,jenseni02
452,Wyatt Kaiser,23,CHI,D,77,6,11,17,-16,34,6,0,0,1,11,0,0,75,8.0,175,1510:14,19:37,0,0,,69,45,36,89,,kaisewy01
453,Kasperi Kapanen,29,EDM,RW,41,8,9,17,5,14,8,0,0,0,9,0,0,65,12.3,112,598:12,14:35,0,3,0.0,18,75,7,25,,kapanka01
454,Cole Koepke,27,WPG,LW,66,8,9,17,1,16,7,0,1,1,9,0,0,86,9.3,166,690:16,10:28,0,2,0.0,19,186,14,30,,koepkco01
455,Keegan Kolesar,28,VEG,RW,82,6,11,17,-14,55,6,0,0,0,10,0,1,67,9.0,140,946:03,11:32,12,19,38.7,43,270,6,39,,koleske01
456,Tyler Seguin,34,DAL,C,27,7,10,17,10,2,6,1,0,2,7,3,0,31,22.6,69,449:52,16:40,126,109,53.6,6,18,3,21,,seguity01
457,Oskar Sundqvist,31,STL,C,52,5,12,17,-18,26,5,0,0,0,11,1,0,37,13.5,71,674:13,12:58,197,231,46.0,26,69,12,23,,sundqos01
